content,labels
"#TIMEanalysis

 திருச்சிராப்பள்ளியில் முந்துவது யார் ?

#MKStalin #EdappadiPalaniswami #Modi #India #INDIAAlliance #Seeman #Ntk #Bjp #AIADMK #DMK #Elections2024 #trichirappalli ",Substantiated
"சீர்தூக்கிப் பாருங்கள் - சீமான்
#election|#ELECTION2024|#NTK|#SEEMAN|#loksabhaelection2024
 ",Sarcastic
"வெறும் சொல் அல்ல.. செயல் 🔥

NTK FOR U❤

#சீமானின்_சின்னம்_ஒலிவாங்கி ",Sarcastic
தமிழினம் ஒற்றுமையோடு இருந்து அதிகாரத்தை பிடித்தால் தான் உரிமை பாதுகாக்கப்படும்.#seeman #Elections2024 #ஒலிவாங்கி #mic,Negative
"#WATCH | ""என்னையும், எங்கப்பா இடத்துல வச்சி பாக்குறாங்க"" 

- வீரப்பன் மகளும், NTK கிருஷ்ணகிரி வேட்பாளருமான வித்யா பேட்டி 

#SunNews | #NTK | #Seeman | #Krishnagiri ",Opinionated
"அவ்ளோ பயம் தமிழ்நாட்டு மக்கள் மேல!!

#DMK4TN #DMKITWING #DMK4Kovai #MKStalin #udhay #BJPFails #BJPFailsTN #BJPFailedIndia ",Positive
"எடப்பாடி பழனிசாமி, இப்போது கூட, தேர்தலுக்குப் பிறகு நாங்கள் மோடியை ஆதரிக்கமாட்டோம் என்று  சொல்ல மறுக்கிறார். 

கே. பாலகிருஷ்ணன், 
மாநிலச் செயலாளர், மார்க்சிஸ்ட் கம்யூனிஸ்ட் கட்சி

#cpim #edappadi #admk #bjp #modi #defeatbjp ",Opinionated
"""பூச்சாண்டிகளுக்கு அதிமுக பயப்படாது"".. ஜூன் 4-ம் தேதிக்கு பின்... நேரம் குறித்த இபிஎஸ்..!

  Click Link: 

#ADMK #EPS #Election2024 #ElectionCampaign #LokSabhaElection2024 #NewsTamil24x7 ",Sarcastic
"திமுகவும் கூட்டணியும்..

#PMK #AnbumaniRamadoss #DMKFailsTN #DMKFails ",Positive
நாகையில் மக்கள் வெள்ளத்தில் சீமான்🔥,Opinionated
"உதயண்ணா vs பெண்கள்...🤣🤣🤣

#திருட்டுதிமுக #திமுக_நாட்டுக்கும்_வீட்டுக்கும்_கேடு ",Opinionated
"ஒரே வீடியோ மொத்த திமுக சோலியும் முடிஞ்சது. ..!இதை மட்டும் யாரவது பார்த்தா என்ன ஆகும். ..!
watch full video link

#mkstalin  ",Opinionated
"நெல்லை மற்றும் கோவையில் இன்று நடைபெறும் பிரச்சாரக் கூட்டத்தில் ராகுல்காந்தி பங்கேற்பு..

#rahulgandhi #mkstalin #congress #roadshow #nellai #coimbatore #take1 #take1tamil ",Opinionated
"சாக வேண்டியது நாமல்ல..🙏

    
 
  ",Positive
"நாம் தமிழர் கட்சி ❤️💛

அடிப்படை அமைப்பு அரசியல் மாற்றம் என்பதன் அடிப்படையில் 2024  நாடாளுமன்றத் தேர்தலில் 20 பெண் மற்றும் 20 ஆண் வேட்பாளர்களுடன் அனைத்து தொகுதியிலும் தனித்து , தனித்துவமாக போட்டியிடும் ஒரே கட்சி நாம் தமிழர் கட்சி .

இது மாற்றத்திற்கான எளிய மக்களின் புரட்சி 💪

நாம் தமிழர் கட்சிக்கு வாக்களிப்போம் ! 
நாளைய தலைமுறைக்கு வாழ்வளிப்போம் !




#மக்களின்_சின்னம்_மைக்
#Mike_VoiceOfPeople
#Elections2024",Neutral
"இவர்களை தேர்ந்தெடுத்தால்  தமிழ்நாடும் ஈழமாக மாறும்.
#மக்களின்_சின்னம்_மைக்",Negative
"#JUSTIN || “யாரையும் சகோதரர் என்று அழைத்ததில்லை“

மு.க.ஸ்டாலினை தவிர வேறு யாரையும் நான் சகோதரர் என்று அழைத்ததில்லை - ராகுல் காந்தி

#Kovai #CMStalin #MKStalin #RahulGandhi #Congress #DMK #IndiaAlliance #Elections2024 #ElectionCampaign #ElectionsWithThanthiTV ",Negative
"மாண்புமிகுஅமைச்சர் பி.கே.சேகர்பாபுஅவர்களும் மத்தியசென்னை&amp; வட சென்னை தொகுதிகளின் கழக வேட்பாளர்கள் தயாநிதி மாறன்&amp; கலாநிதிவீராசாமி அவர்களும்திரு.வி.க நகர்  தொகுதி நார்த்டவுனில் உள்ளஜெயின் சமூகத்தவர்க ளிடம் ஆதரவு கோரிய நிகழ்ச்சியில் பங்கேற்றோம்.

#dmk   ",Positive
"லாக்கப் மரணங்களை 
எல்லாம் மறந்துவிட்டீங்களா ?

#DMKFailsTN #DMKFails ",Neutral
"பல எழுச்சிகளுயும் புரட்சிகளுயும் வரலாறு முழுக்க உருவாக உறுதுணையாக இருந்தது ஒலிவாங்கி

நமது சின்னம் ஒலிவாங்கியில் வாக்கு சேகரித்த பொழுது
        
#மக்களின்_சின்னம்_மைக்
#Mike_VoiceOfPeople ",Neutral
"  மிக தெளிவாக கவனித்தோம் சகோ 🎙️🫶🏼❣️

#NTK_Symbol_Mike 
#Mike_VoiceOfPeople 
#மக்களின்_சின்னம்_மைக் 🎙️ ",Sarcastic
"தரமான சம்பவம்!! 🔥🔥

#மக்களின்_சின்னம்_ஒலிவாங்கி 
#மக்களின்_சின்னம்_மைக்

",Opinionated
"#BREAKING || மதுரையில் சிறுமி கொலை - வெளியான அதிர்ச்சி தகவல்

மதுரையில் 11 வயது சிறுமி பாலியல் வன்கொடுமை செய்யப்பட்டு கொலை

சிறுமி பாலியல் வன்கொடுமை செய்யப்பட்டு கொல்லப்பட்டது, பிரேத பரிசோதனை அறிக்கையில் தெரியவந்தது

""சந்தேக மரணம் என பதிவு செய்யப்பட்ட வழக்கு போக்சோ மற்றும் கொலை வழக்காக மாற்றப்படும்""

மதுரை மாநகர காவல் ஆணையர் லோகநாதன் தகவல்

குற்றவாளி விரைவில் கைது செய்யப்படுவார் என போலீசார் உறுதி

#Madurai #ChildAbused #Police #ThanthiTV",Opinionated
"பெண்கள் வீட்டில் சுயமரியாதையோடு இருக்க ₹1000 கொடுக்கிறோம் என்றார்கள். ஆனால் ஆயிரம் கொடுத்தோம், ஆயிரம் கொடுத்தோம் என்று நாடு முழுவதும் பெண்களின் சுயமரியாதையை கெடுக்கிறார்கள் இந்த திமுககாரர்கள். 

#DMKFailsTN
#ஆயிரம்_ரூபாய்க்கு_பிறந்தவனுங்க",Opinionated
"அரசியல் சட்டத்தைக் காப்போம் என்று இந்நாளில் உறுதி ஏற்போம் - உதயநிதி ஸ்டாலின்
#UdhayanidhiStalin #DMK #AmbedkarJayanti2024 
",Opinionated
"நீங்க மட்டும் 
கல்ல மட்டுமா காட்டுனீங்க... 

#Elections2024 #DMKFailsTN #TamilNadu ",Sarcastic
"  திமுகவால இப்போலாம் ஒரு பொய்ய கூட நிம்மதியா பரப்ப முடியல...! 

எல்லாரோட கையலையும் செல் போன் இருக்கு...

உடனுக்குடன் செருப்பால அடிக்கிறாங்க  தம்பிங்க மட்டும் இல்ல...தமிழ்நாடே !
#DMKFails #DMKFailsTN ",Opinionated
"கலவரம் செய்வது பாஜகவின் DNA; ஆட்சிக்கு வந்தால் திருப்பூர் மணிப்பூராகும் - மு.க. ஸ்டாலின்!

#MKStalin #Tamilnadu #DMK #Tiruppur #LokSabhaElection2024 #IBCTamilnadu

",Positive
"ஒன்று படுவோம்! 
வென்று காட்டுவோம்!! ❤

        #dmk #cmmkstalin #கழக_இளைஞரணி_மாநாடு #salem #mkstalintheleader #mkstalinerabegins #mkstalin #mkstalinfortn #mkstalingovt #cmmkstal ",Opinionated
"தனது எஜமானர்களின் கட்டளையை நிறைவேற்றிய பாஜக ,RSS அமைப்பின் கிளை அமைப்பு #திமுக ....

#திருட்டு_திமுக
 #சாத்தானின்_ஆட்சி
 #திருட்டு_திராவிடம்
#உபிஸ்பரிதாபங்கள்
#திராவிடமாடல்பரிதாபங்கள்
#DMKFailsTN ",Neutral
தமிழக அரசு சாராயம் விற்ற காசில் நடக்கிறது-சீமானின் அனல் பறக்கும்  பிரச்சாரம். #ntk #election2024news #ntk #ntkshorts #ntknews #seeman #seemanspeech #election2024news #electioncampaign2024 #politicalnewsupdates #electionnews #trichyupdates #PoliticalNews  #DMKITWING,Negative
"அன்பின் உயரம் ""எளிமை"" !!
அண்ணனுக்காக தானே கடைக்கு போய் இனிப்பு வாங்குவது 😍🙏

#RahulGandhi #MKStalin #Brotherhood 
#Vote4INDIAalliance #Coimbatore ",Opinionated
"தமிழகத்திற்கு வர வேண்டிய தொழிற்சாலையை மிரட்டி குஜராத்திற்கு மாற்றியது பாஜக என கோவையில் முதல்வர் மு.க.ஸ்டாலின் பேச்சு

#MKStalin #Rahul_Gandhi #kovai #DinakaranNews ",Substantiated
"அவர்களுக்கு துணையாக நிற்கிறீர்கள் எனவே தான் அண்ணன் செந்தமிழன் சீமான் சொல்கிறார் அநீதிகளை எதிர்த்து குரல் கொடுக்காமல் அவர்களுக்கு ஆதரவாக இருப்பவர்களை சாத்தானின் பிள்ளைகள் என்று...!
 #உபிஸ்பரிதாபங்கள்
#திராவிடமாடல்பரிதாபங்கள்",Negative
"#NEWSUPDATE | ‘ரூ.1000 கொடுத்துவிட்டு ஆயிரம் முறை சொல்வதா?’ 

Click Link: 

#NewsTamil24x7 | #perambalur | #ntkcandidate | #Seeman | #ElectionCampaign | #Election2024 ",Negative
"ஒரு பக்கம் கண் சிவக்க கர்ஜனை... சட்டென குழந்தை போல் பாட்டு - தம்பிகளை வாய் பிளக்க வைக்கும் சீமான்



#seeman | #electioncampaign | #loksabhaelection2024 | #ThanthiTV",Neutral
"இன்று ஜோலார்பேட்டை நகராட்சியில் நடைப்பெற்ற பரப்புரை மற்றும் துண்டறிக்கை பரப்புரை...

#நாம்தமிழர்கட்சி
#சீமான்‌
#NaamTamilarKatchi #Seeman #Ntk
#NTK_Symbol_மைக் ",Opinionated
"கேரளா, கர்நாடகா, ஆந்திரா ன்னு அல்ரெடி நீங்களே லோடு லோடா ஏத்தி காசுக்காக, வித்துட்டு இருக்கீங்களே தோழி.

#திருட்டுதிமுக ❤️ 🖤 ",Negative
தமிழர் உரிமை மீட்போம்! தமிழ்நாடு காப்போம்! அதிமுக வெற்றி வேட்பாளர்  (ஸ்ரீபெரும்புதூர் - டாக்டர் G.  பிரேம்குமார்) #ADMK,Neutral
"🎙️நமது சின்னம் ஒலிவாங்கி🎙️

#மக்களின்_சின்னம்_மைக்
#Mike_VoiceOfPeople ",Sarcastic
"இறுதியான வெற்றி முதல்வர் ஸ்டாலினுக்கு தான்... 

#Minnambalam #KNNehru #MKStalin #elections2024 #DMK ",Substantiated
"நிற்கும் அத்தனை மக்களோட வயித்தெரிச்சல் எடுத்துட்டு போக போறாங்க இந்த ஜோதிமணி அம்மா
🤦🤦
#SayNoToDmk 
#DMKFailsTN 
#Drug_Mafia_DMK
#SayNoToCongress
#CongressMuktBharat ",Opinionated
2021 ஆங்கில புத்தாண்டு வாழ்த்துக்கள்,None of the above
"தெருக்கோடியில் கூட நிற்பேன்.! எனக்கு கோடி ரூபாய் வேணாம்.! சீமான் ஆவேசம்.!

Click Link: 

#namakkal #seeman #electioncampaign #ntk #loksabhaelection2024 #NewsTamil24x7 ",Neutral
"கோவை: புளியகுளத்தில் உள்ள சாலையோர டீக்கடையில் தேநீர் அருந்தி, திமுக வேட்பாளர் கணபதி ராஜ்குமாருக்கு ஆதரவாக வாக்கு சேகரித்தார் அமைச்சர் டி.ஆர்.பி.ராஜா

#TRBRajaa #DMK #Kovai ",Neutral
"விருதுநகர் மாவட்டம் ஸ்ரீவில்லிபுத்தூர் அருகே பிள்ளையார்குளம் ஒன்றியத்திற்கு உட்பட்ட கங்காகுளம் கிராம சபை கூட்டத்தில்,
கேள்வி கேட்ட விவசாயியை எட்டி உதைத்த ஊராட்சி செயலர்..

#திருட்டு_திமுக
#சாத்தானின்_ஆட்சி
#DMKFailsTN

#உபிஸ்பரிதாபங்கள்
#திராவிடமாடல்பரிதாபங்கள் ",Neutral
அன்பே சிவம்,None of the above
""" மகன் திருடனை விட அப்பா திருடனே மேல் ""

அப்பா திருடன் - கருணாநிதி
மகன் திருடன் - ஸ்டாலின்

மூன்றாவதாக பேரன் திருடன் தயாராகி கொண்டிருக்கிறார்.
😂

-செந்தமிழன் சீமான் 
தலைமை ஒருங்கிணைப்பாளர்

#seeman | #NTK |

#சீமானின்_சின்னம்_ஒலிவாங்கி
#NTK_Symbol_Mike
#Elections2024 ",Opinionated
"உனக்கு கோவை எனக்கு தூத்துக்குடி இப்படி 5 தொகுதியில் பாஜகவின் வெற்றிக்காக டீல் பேசி முடித்திருக்கிறது திமுக!

#DMKisBJP #DMKisRSS #DMKFailsTN ",Opinionated
"மக்களுக்கு நம்பிக்கை துரோகம் செய்த திமுக |  NTK Muthupandi
Link : 

#ntk #seeman #naamtamilarkatchi #kalanjiyam #kalanjiyamtamil #marakkanam #villupuram #mp #elections2024 #tamilnadu #annamalai #dmk #mkstalin #udhayanidhistalin #vck #vaiko #thirumavalavan",Neutral
"அரை நூற்றாண்டு காலம் ஆண்ட திராவிடம் தூக்கிஎறியபட்டு !!!! தமிழ் தேசியம் ஆளும் இடத்திற்கு வரும் என்பது இயற்கையின் நியதி 🔥🔥🔥🔥
#seeman 
#NTK_Symbol_Mic 
#NTK_Symbol_மைக்",Opinionated
" பொய்

#NoVoteToDMK
#DMKMuktTN
#DMKFailsTN 

#VOTE4BJP 🪷🇮🇳
#Annamalai4Covai 🪷🇮🇳",Positive
"Seeman: ஒரே நாளில் கூண்டோடு காலியான  நாம் தமிழர் கட்சி நிர்வாகிகள்.! சீமான் ஷாக் - காரணம் என்ன தெரியுமா.?  
#Tamilnadu #politics #dmk #seeman #election #namtamilar #bjp #asianetnewstamil

 ",Opinionated
"நூறு நாட்கள் அமைதியாக நடந்த போராட்டம்
எப்படி வன்முறையாக மாறியது?

சம்மந்தப்பட்ட காவல்துறை அதிகாரி மீது நடவடிக்கை எடுக்காமல் திமுக அரசு பதவி உயர்வு கொடுத்து ஏன்?

ஸ்டெர்லைட் வேதாந்தா நிறுவனம்
திமுகவுக்கு தேர்தல் பத்திரம் மூலம் நன்கொடை கொடுத்து ஏன்?
#DMKFailsTN
#Vote4PMK #PMK2_0 ",Substantiated
நன்பா  வாட்ஷாப் நம்பர் கிடைக்குமா,None of the above
"‘சீமான் அண்ணனுக்கு சின்னமும் இல்லை, ஓட்டும் இல்லை’ : கலாய்த்த அண்ணாமலை



#Annamalai|#bjp|#Election|#NTK|#Seeman ",Negative
"""ரூ.1000 மகளிர் உரிமைத் தொகை எப்படி வழங்கப்படுகிறது?"" - சீமான் கொடுக்கும் புது விளக்கம்



#ThanthiTV #1000Rupees #Seeman #Speech #ElectionCampaign",Positive
"அண்ணன் சீமான் மற்றும் நாம் தமிழர் கட்சியின் இன்றைய மதிப்பு

1000 கோடி
15 MP சீட்
முதல்வர் பதவி

கூட்டணி வைத்தால் இவ்ளோவும் கிடைக்கும்

இருந்தும் பணத்துக்கோ பதவிக்கோ தன்னை நம்பியுள்ள மக்களையும் தன் தமிழ்த்தேசிய கொள்கையையும் யாரிடமும் அடமானம் வைக்கல பாத்தியா..

அதான் #சீமான் 😍☺🔥 ",Positive
"காதலிச்ச பொண்ணு விட்டுட்டு போன எப்படி இருக்கும்.. 

 | #Seeman #NTK #LokSabhaElection2024 #Elections2024 ",Negative
"துரோகம், தீராப் பகை, போட்டி! அரசியலில் நடக்கும் ரகசிய தெய்வ வழிபாடு! | Palaru Swamigal Exclusive

Link: 

#palaruswamigal #RahulGandhi #NarenderModi #seeman #Annamalai ",Opinionated
"#Watch | முட்டை தோசை போட்டுக் கொடுத்து வாக்கு சேகரித்து அதிமுக வேட்பாளர் மனோகர்

#SunNews | #Chennai | #ADMK | #ElectionsWithSunNews ",Sarcastic
"#மக்களின்_சின்னம்_மைக் 🎙️
#Mike_VoiceOfPeople 🎙️

அரக்கோணம் மக்களவை தொகுதி 
நாம்தமிழர் வெற்றி வேட்பாளர் 
பேராசிரியர் அப்சியா நஸ்ரின் 
வரிசை எண் 4 
நமது சின்னம் மைக் 🎙️ ",Neutral
"Watch  debate on 
தேர்தல் அறிக்கை வெளியிட்ட #பாஜக... 
மோடியின் உத்தரவாதம் - மக்களின் நம்பிக்கையை பெறுமா?
#ModiKiGuarantee #Modi #Congress #DMK #RahulGandhi
#Elections2024 #NyayPatra #DMK #MKStalin #Annamalai #AmitShah #INDIAAlliance
",Opinionated
"காச நோய் மருந்து தட்டுப்பாட்டினை ஏற்படுத்தி லட்சக்கணக்கான  நோயாளிகள் உயிரோடு இந்திய ஒன்றிய பாஜக அரசு விளையாடுவது  கொடுஞ்செயல்!

இந்திய சுகாதாரத் துறையின் காச நோய் ஒழிப்பு திட்ட இயக்குநர்  ராஜேந்திர ஜோஷி கடந்த 18.3.2024  அன்று  மாநில அரசுகளுக்கு அனுப்பியுள்ள  சுற்றறிக்கையில், நாடு முழுவதும் காச நோயால் பாதிக்கப்பட்டு, உயிருக்குப் போராடிக் கொண்டிருக்கும் 27 இலட்ச நோயாளிகளுக்குத் தேவைப்படும் மாதாந்திர ATT எனப்படும் உயிர் காக்கும்  மருந்துகளை, இந்திய ஒன்றிய அரசால் சில எதிர்பாராத காரணங்களால் மாநில அரசுகளுக்கு அனுப்ப இயலாது என்றும், இந்த நிலை, அடுத்த ஏப்ரல், மே, ஜூன் ஆகிய மூன்று மாதங்களுக்கும் நீடிக்கும் என்றும், எனவே அந்தந்த மாநில அரசுகளே ஆங்காங்கே (Local  Purchase)  தனியார் நிறுவனங்களில் காச நோய்க்கான மருந்தினை வாங்கிக் கொள்ள வேண்டுமென்றும்  செய்தி அனுப்பியுள்ளது பெரும் அதிர்ச்சியளிக்கிறது. காச நோய்க்கு போதிய மருந்தினை ஏற்பாடு செய்யாமல் செயற்கையான தட்டுப்பாடினை ஏற்படுத்தி இந்திய ஒன்றியத்தை ஆளும் பாஜக அரசு 
லட்சக்கணக்கான  காசநோயாளிகள் உயிரோடு  விளையாடுவது  வன்மையான கண்டனத்துக்குரியது.

ஒரு புறம், 2025 ஆம் ஆண்டிற்குள் காச நோயை இந்தியாவிலிருந்து அடியோடு அழித்து விரட்டி விடுவதுதான் தேசிய காச நோய் ஒழிப்பு திட்டத்தின் இலக்கு என்று 2018 முதல்  பிரதமர் மோடி வெறுமனே பேசிக்கொண்டிருக்கும் நிலையில், மறுபுறம் சாதாரண காச நோய்க்கும் மருந்தில்லை, MDR TB என்று சொல்லப்படும், முற்றிய மற்றும் மருந்து எதிர்ப்பு  கிருமிகளால் தாக்கப்பட்டு உயிரிழப்பை ஏற்படுத்தும் மிகக்கொடிய காச நோய்க்கும் மருந்தில்லை என்றால், வீடு மற்றும் சமூகத்தால் ஒதுக்கப்பட்டு வாழ்வா சாவா என்று போராடிக் கொண்டிருக்கின்ற நோயாளிகள் வேறு எங்கு தான் செல்வார்கள்?

ஏற்கனவே மருந்தெதிர்ப்பு காச நோய் எனப்படும் MDR-TB க்கு கண்டுபிடிக்கப்பட்டுள்ள  ஒரே மருந்தான டெலமனிட் (Delamanid) கடந்த செப்டம்பர் 2021 முதல், இன்று வரை தட்டுப்பாட்டில் இருந்துவரும் அவல நிலையில், தற்போது மருந்துகளுக்கு கட்டுபடக்கூடிய காச நோய்க்கும் முற்றிலுமாக மருந்துகள்  கையிருப்பு இல்லை என்பது காச நோய் பரவுவதற்கான பேராபத்தான சூழலையும் ஏற்படுத்தியுள்ளது. போதிய அளவில் மருந்துகள் கடைசி நேரத்தில் தான் இந்திய ஒன்றியத்தை ஆளும்  பா.ஜ.க அரசு தெரிவிக்க  வேண்டுமா?    காச நோய்க்கான மருந்தினைக் கூட பெற்றுத்தர திறனற்ற பாஜக அரசால் எப்படி காச நோயை முற்றிலுமாக ஒழித்திட முடியும்? 

 இது ஒரு புறமிருக்க தமிழ்நாடு அரசும் காச நோய் மருந்து வாங்குவதற்கான  போதிய நிதியினை சுகாதாரத்துறைக்கு ஒதுக்காதது அடுத்த அதிர்ச்சியாகும். நோயாளிகளே தங்களது சொந்த செலவில் காச நோய்க்கான மருந்தினை வாங்கிக்கொள்ளுமாறு தமிழ்நாடு அரசு அறிவுறுத்துவது வெட்கக்கேடானதாகும்.
இந்திய ஒன்றியத்தை ஆளும் பாஜக அரசும், தமிழ்நாட்டை ஆளும் திமுக அரசும் காச நோயாளிகளின் உயிரோடு விளையாடுவது ஏற்றுக்கொள்ள முடியாத கொடுஞ்செயலாகும்.

ஆகவே,  தனியார் நிறுவனங்களிடமும் காச நோய் மருந்துக்கான தட்டுப்பாடு ஏற்பட்டு லட்சக்கணக்கான நோயளிகள் சாவின் விளிம்பில் போராடி வரும் தற்போதைய கொடுஞ்சூழலில் இந்திய ஒன்றியத்தை ஆளும் பாஜக அரசும், தமிழ்நாட்டை ஆளும் திமுக அரசும் இனியும் அலட்சியமாக செயல்படாமல்,  காச நோய்க்கான மருந்துகள் விரைந்து கிடைக்க போர்க்கால அடிப்படையில் நடவடிக்கை எடுக்குமாறு நாம் தமிழர் கட்சி சார்பாக வலியுறுத்துகிறேன்.

- செந்தமிழன் சீமான்
தலைமை ஒருங்கிணைப்பாளர்
நாம் தமிழர் கட்சி",Opinionated
"சீமான் அண்ணா.....சீமான் அண்ணா....

உங்களுக்கு தான் எங்க ஓட்டு....

#விழுப்புரம்_நாடாளுமன்றத்_தொகுதி
#இயக்குநர்_மு_களஞ்சியம்
#நமது_சின்னம்_மைக் #seeman #ntk #vote_for_mike #சீமான் #ஒலிவாங்கி 
#சீமானின்_சின்னம்_ஒலிவாங்கி ",Positive
"அறியாமல் தவறு செய்யவில்லை! அறிந்தே தவறு செய்துள்ளீர்கள்! உங்களுக்கு மக்கள் வாக்களிக்க மாட்டார்கள்! தொகுதி பக்கமே வராதே!

#DMKFailsTN 
 
 ",Neutral
"  அப்போ #2021 ல குடுத்த வாக்குறுதி எல்லாம் என்னாச்சுடா நாரக்கூ...

#NoVoteToDMK
#DMKFailsTN 
#DMKFails",Opinionated
"50 ஆண்டுகால திராவிட ஆட்சி
 இதுவே சாட்சி

அவலங்கள் தொடர் கதை❤🖤

பொதுமக்களை தாக்கும் திமுக நிர்வாகி.....

திமுக நிர்வாகியின் அத்துமீறல்.!

#ரவுடி_திமுக
#திருட்டு_திமுக
#சாத்தானின்_ஆட்சி
#DMKFailsTN
#சாதிவெறி_திராவிடம்
#சாதிவெறி_திமுக

#உபிஸ்பரிதாபங்கள்
#திராவிடமாடல்பரிதாபங்கள் ",Opinionated
"ஊழல் University-க்கு பொறுப்பாளராக நியமிக்க பொறுத்தமானவர் மோடி - ஸ்டாலின்
#ElectionCampaign #LokSabhaElection2024 #MKStalin #modi #Udhayanithi #UdhayanithiStalin 
#election #dmk #bjp #EdappadiPalanisamy #CMMKStalin 

",Substantiated
"#BREAKING | ஒரே ஒரு கூட்டம்தான் மொத்தமும் காலி - முதல்வர்

#MKStalin  | #CMStalin | #DMK | #Elections2024 | #ElectionWithPT ",Opinionated
"மாற்றம் தேவை. அரசியல் &amp;அடிப்படை அமைப்பு மாற்றம்.
#மக்களின்_சின்னம்_மைக்",Sarcastic
"பருப்பு வடை 
மெது  வடை 
கீரை வடை 
இனிப்பு வடை 
மசால் வடை 

எல்லாமே மிக்சிங் செய்த வடை “ஸ்டாலின் வடை”
#NoVoteToDMK
#DMKFailsTN ",Sarcastic
"சோம்பேறி ஆக்கும் 100 நாள் வேல | வயிர் எரிஞ்சு பேசும் சீமான்.
#seeman #kaliyammal #kaliyammalspeech #ntk #mkstalin #dmk ",Opinionated
"""Made in Indiaன்னு எதுவும் இல்லை..இந்த நாடு வாடகை விடப்பட்டிருக்கு.."" - சீமான் தடாலடி பேச்சு

#seeman #ntk #covai #elections2024 #electioncampaign  #NewsTamil24x7 ",Sarcastic
"#BREAKING | தீண்டாமை ஒழிப்பு உறுதிமொழி ஏற்போம்: முதல்வர் ஸ்டாலின்

#MKStalin | #DMK | #AmbedkarJayanti | #Ambedkar ",Positive
" மருத்துவர் கெளஷிக் நாம் தமிழர் கட்சி......

#மக்களின்_சின்னம்_மைக் 
#மக்களின்_சின்னம்_ஒலிவாங்கி",Opinionated
பயம்வேன்டாம்நான்அரியலூர்,None of the above
"முதல்வர்  அவர்களின் 57 ஆண்டுகால பொதுவாழ்க்கைக்கு இந்த ஒரு வீடியோ ஒன்றே போதுமானது 🖤❤️🥲😍😍😍

மகன் போல ஸ்டாலின் உதவுகிறார் 😍😍😍

#MKStalinEra #DravidianModel ",Positive
வாக்களிப்பீர் தாமரைக்கு🔥🔥🔥,Positive
"""உங்கள மாதிரி மாத்தி மாத்தி பேச திமுக காரன் ஒன்னும் பச்சோந்தி கிடையாது"" - உதயநிதி ஸ்டாலின்

#UdhayanidhiStalin | #EdappadiPalaniswami | #AIIMS | #Modi | #LokSabhaElections2024 | #ElectionWithPT ",Negative
"JUSTIN | மன்னர்களைவிட மோசமான ஆட்சி நடக்கிறது: பிடிஆர் 

 #PTR | #PalanivelThiagaRajan | #DMK | #LokSabaElection2024 | #ElectionWithPT ",Negative
படித்த திரு நங்கைகளுக்கு பள்ளியில் PTA staff aga அமர்த்தலாம்,None of the above
"நேரடியாக தனது ஆதரவை பாடலின் மூலம் *நாம் தமிழர் கட்சியின் மைக் சின்னத்திற்கு* வாக்கு கேட்டு *அண்ணன் விஜய்* அவர்கள் பாடிய பாடல். 

கேம்பைன தான் தொறக்கட்டுமா...
*#மைக் க கையில் எடுக்கட்டுமா...*

என்று பாடியுள்ளார்
#மக்களின்_சின்னம்_மைக் ",Neutral
"பாஜக அறிமுகப்படுத்தும் 
""ஒரே நாடு ஒரே ரேஷன்"" திட்டத்தில் பொது வாக்காளர் அட்டை கொடுத்து 
வட இந்தியர்கள் இங்கே வாக்கு செலுத்தினால் நமது உரிமை இழப்போம். 
இந்தி பேசும் இன்னொரு மாநிலமாக தமிழகம் மாறும்.

போதிக்கும் போது புரியாது..
பாதிக்கும் போதுதான் புரியும்..💯

#மக்களின்_சின்னம்_மைக்🎙️✅
#Mike_VoiceOfPeople🎙️🎙️🎙️✅

#SayNoToABCD❌",Negative
நான் துண்டு அறிக்கை கொடுக்கும்போது இரண்டு உபி அருகில் உங்கள் கண்ணுக்கு தெரிகிறார்களா,Substantiated
"#JUSTIN 15 சீட், 26ல நீ தான் முதலமைச்சர், ரூ.1,000 கோடி தரோம்னு கூப்பிட்டாங்க;  தெருக்கோடிலகூட நின்னுகிறேன்; உன்னோட வர மாட்டேனுட்டேன் - பரமத்திவேலூரில் நாதக ஒருங்கிணைப்பாளர் சீமான் பரப்புரை
#Seeman #NTK #Paramathivelur #ElectionCampaign #LokSabhaElections2024 #News18TamilNadu | ",Neutral
"தோல்வி பயம் தொற்றிக்கொண்டதும்.. 

அல்லது #நாம்_தமிழர்_கட்சி  வெற்றி வாய்ப்பு இருக்கிறது என்பதை அறிந்ததும்.. 

#திருட்டுக்_கருணாநிதி க்கே உரித்தான ஆபாசத்தை கையில் எடுத்திருக்கிறது #திருட்டுதிமுக 

ஆபாசம் அவர்களின் குலத்தொழில். தமிழினம் விழிக்கட்டும்.",Substantiated
"அ.தி.மு.க சார்பில் நாளை இப்தார் நோன்பு திறப்பு | ADMK | NewsJ
#aiadmk #aiadmknews #EdappadiPalanisamy #edappadi #eid #RamadanKareem #Ramadan #Ramadan2024 #newsj

#ADMK_CBE 
#ADMK_CBE_SOUTH 
#S_DAMODARANMLA 
#KINATHUKADAVU_CONSTITUENCY ",Opinionated
நான் தமிழ்தேசியவாதி என்பதையே இப்போதான் கண்டுபுடிச்சி இருக்காங்க 🚶,Substantiated
